7475.31,13239.30
7780.17,13251.49
8089.10,13243.36
8398.03,13243.36
8719.16,13247.43
9040.28,13235.23
9341.08,13251.49
9637.82,13255.56
9975.20,13259.62
10284.13,13243.36
10584.94,13255.56
10893.87,13239.30
11198.73,13239.30
11515.79,13235.23
11836.92,13247.43
11840.98,13584.81
11515.79,13580.75
11227.19,13580.75
10902.00,13592.94
10584.94,13576.68
10267.88,13576.68
9963.01,13564.49
9674.40,13576.68
9345.15,13576.68
9052.48,13592.94
8706.96,13580.75
8418.36,13588.88
8109.43,13588.88
7796.43,13580.75
7471.24,13568.55
7182.63,13584.81
6837.12,13576.68
